BookYear,WeathDate,WeathTime,NestArea,CurrentTemp,MinTemp,MaxTemp,MinWind,AvgWind,MaxWind,WindDirection,CloudCover,CloudThickness,Precipitation,BoatCount,Comment,EntryBy,EntryDate,ModBy,ModDate,WeatherSeq,FieldEntry
1983,1983-10-12,,,,10,23,2.8,,,,,,,,"General Comments:  CLEAR AM, 50% CLOUDCOVER PM        ",,,,,27,
1983,1983-10-13,,,,9,21,1.4,,4.2,,,,,,"General Comments:  0% CLOUDCOVER IN PM, 100% IN AM    ",,,,,28,
1983,1983-10-14,,,,6,25,,,,,0,,,,,,,,,29,
1983,1983-10-15,,,,10,28,4.2,,6.9,,0,,,,,,,,,30,
1983,1983-10-16,,,,4,24,,,,,,,,,General Comments:  CLOUDY AND WINDY                   ,,,,,31,
1983,1983-10-17,,,,10,32,1.4,,4.2,,,,,,General Comments:  PRTLY CLDY                         ,,,,,32,
1983,1983-10-18,,,,10,32,4.2,,6.9,,6,,,,General Comments:  TRACE OF RAIN                      ,,,,,33,
1983,1983-10-19,,,,12,27,2.8,,5.6,,8,,,,,,,,,34,
1983,1983-10-20,,,,8,26,1.4,,4.2,,4,,,,"General Comments:  TRACE OF WIND, GUSTS TO 40         ",,,,,35,
1983,1983-10-21,,,,7,,1.4,,4.2,,2,,,,General Comments:  CALM IN PM                         ,,,,,36,
1983,1983-10-22,,,,4,29,3.3,,5.6,,2,,,,General Comments:  DURING PM W=10-15                  ,,,,,37,
1983,1983-10-23,,,,10,29,,,,,1,,,,,,,,,38,
1983,1983-10-24,,,,10,25,,,0.6,,0,,,,"General Comments:  WISPY CLDS, CALM ALL DAY           ",,,,,39,
1983,1983-10-25,,,,8,18,,,1.4,,,,,,"General Comments:  LIGHT OVERCAST,AFTERNOON CLEAR     ",,,,,40,
1983,1983-10-26,,,,9,20,,,,,,MEDTHICK,,,"General Comments:  MED-THICK OVERCAST,CLR AFTERNOON   ",,,,,41,
1983,1983-10-27,,,,6,26,,,,,,,,,General Comments:  FOG AND LIGHT OVERCAST             ,,,,,42,
1983,1983-10-28,,,,12,27,2.8,,4.2,,0,,,,,,,,,43,
1983,1983-10-29,,,,2,28,,,1.4,,2,,,,General Comments:  LIGHT OVERCAST                     ,,,,,44,
1983,1983-10-30,,,,9,26,,,,,0,,,,,,,,,45,
1983,1983-10-31,,,,9,21,,,5.6,,4,,31,,"General Comments:  CLR AFTERNOON,WIND DROPPED         ",,,,,46,
1983,1983-11-01,,,,9,25,,,2.8,,,,,,General Comments:  OVERCAST                           ,,,,,47,
1983,1983-11-02,,,,17,26,,,3.3,,,,,,"General Comments:  CLR MOST OF DAY,WARM WIND          ",,,,,48,
1983,1983-11-03,,,,10,34,,,,,,,,,"General Comments:  OVERCAST,CLR AFTERNOON             ",,,,,49,
1983,1983-11-04,,,,12,39,,,,,4,,,,General Comments:  LIGHT WIND                         ,,,,,50,
1983,1983-11-05,,,,7,28,,,,,,,,,"General Comments:  OVERCAST-CLR,SOME WIND             ",,,,,51,
1983,1983-11-06,,,,8,38,,,,,,,,,"General Comments:  LT OVERCAST,SOME WIND              ",,,,,52,
1983,1983-11-07,,,,7,36,,,1.4,,,,,,General Comments:  CLR IN PM                          ,,,,,53,
1983,1983-11-08,,,,7,36,,,,,,,,,General Comments:  CLR AND CALM                       ,,,,,54,
1983,1983-11-09,,,,6,34,,,,,,,,,General Comments:  CLR AND CALM                       ,,,,,55,
1983,1983-11-10,,,,9,33,0.6,,1.9,,,,,,General Comments:  CLEAR                              ,,,,,56,
1983,1983-11-11,,,,15,33,,,2.8,,,,,,General Comments:  LIGHT OVERCAST                     ,,,,,57,
1983,1983-11-12,,,,10,24,1.4,,2.8,,,,,,General Comments:  CLEAR                              ,,,,,58,
1983,1983-11-13,,,,6,31,1.4,,4.2,,0,,,,General Comments:  W=15-30 IN PM                      ,,,,,59,
1983,1983-11-14,,,,7,32,,,,,,,,,General Comments:  CLEAR                              ,,,,,60,
1983,1983-11-15,,,,5,29,1.4,,,,4,,,,General Comments:  LIGHT OVERCAST                     ,,,,,61,
1983,1983-11-16,,,,8,30,1.4,,,,1,,,,,,,,,62,
1983,1983-11-17,,,,8,38,1.4,,3.3,,0,,,,,,,,,63,
1983,1983-11-18,,,,9,29,,,,,,,,,General Comments:  CLEAR AND CALM                     ,,,,,64,
1983,1983-11-19,,,,11,41,2.2,,5.6,,0,,,,"General Comments:  TRACE OF RAIN, STORMY SEA          ",,,,,65,
1983,1983-11-20,,,,6,21,4.2,,5.6,,0,,,,,,,,,66,
1983,1983-11-21,,,,17,33,4.2,,5.6,,0,,,,"General Comments:   CALM IN AM, FEW RAINDROPS         ",,,,,67,
1983,1983-11-22,,,,22,36,,,5.6,,,,,,"General Comments:  HOT WIND ALL DAY,CLR-OVERCAST      ",,,,,68,
1983,1983-11-23,,,,12,36,,,4.2,,4,,,,"General Comments:  LIGHTNING & RAIN AFTERNOON,EVENING ",,,,,69,
1983,1983-11-24,,,,12,27,,,,,0,,,,General Comments:  CLEAR AND CALM                     ,,,,,70,
1983,1983-11-25,,,,11,29,,,1.4,,,,,,"General Comments:  CLD WISPS, CALM IN PM              ",,,,,71,
1983,1983-11-26,,,,9,32,,,,,0,,,,General Comments:  CALM AND CLR                       ,,,,,72,
1983,1983-11-27,,,,16,31,,,,,,,,,General Comments:  CLDY AND CALM                      ,,,,,73,
1983,1983-11-28,,,,14,30,,,1.4,,0,,,,,,,,,74,
1983,1983-11-29,,,,12,35,3.1,,5.6,,1,,,,"General Comments:  VERY WINDY,SOME CLDS               ",,,,,75,
1983,1983-11-30,,,,5,23,,,5.6,,1,,,,General Comments:  VERY WINDY ALL DAY                 ,,,,,76,
1983,1983-12-01,,,,13,24,1.4,,5.8,,0,,,,General Comments:  VERY WINDY IN AFTERNOON            ,,,,,77,
1983,1983-12-02,,,,10,30,2.8,,,,,,,,General Comments:  CLEAR IN PM                        ,,,,,78,
1983,1983-12-03,,,,13,23,,,,,0,,,,General Comments:  CLEAR AND CALM                     ,,,,,79,
1983,1983-12-04,,,,15,29,,,,,,,,,"General Comments:  TRACE OF RAIN,OVERCAST             ",,,,,80,
1983,1983-12-05,,,,15,29,,,,,,,,,General Comments:  NO OTHER INFO                      ,,,,,81,
1983,1983-12-06,,,,16,29,,,,,0,,,,General Comments:  CALM AND EVENING CLEAR             ,,,,,82,
1983,1983-12-07,,,,15,24,,,1.4,,,,,,General Comments:  OVERCAST                           ,,,,,83,
1983,1983-12-08,,,,15,27,2.8,,4.2,,,,,,General Comments:  OVERCAST                           ,,,,,84,
1983,1983-12-09,,,,16,25,1.4,,,,,,,,General Comments:  OVERCAST                           ,,,,,85,
1983,1983-12-10,,,,16,32,,,,,,,1,,General Comments:  FOG AND PM OVERCAST                ,,,,,86,
1983,1983-12-11,,,,16,28,,,,,,,,,General Comments:  OVERCAST AND CALM                  ,,,,,87,
1983,1983-12-12,,,,17,23,2.8,,,,0,,,,,,,,,88,
1983,1983-12-13,,,,13,27,,,1.4,,0,,,,,,,,,89,
1983,1983-12-14,,,,17,27,1.4,,2.8,,0,,,,General Comments:  PARTLY CLDY IN PM                  ,,,,,90,
1983,1983-12-15,,,,13,24,0.3,,5.6,,,,,,General Comments:  CLEAR AFTER 1000                   ,,,,,91,
1983,1983-12-16,,,,14,26,1.4,,5.6,,,,,,General Comments:  PARTLY CLDY                        ,,,,,92,
1983,1983-12-17,,,,16,26,,,2.8,,,,,,General Comments:  CLEAR-PARTLY CLDY                  ,,,,,93,
1983,1983-12-18,,,,14,30,,,,,,,,,"General Comments:  CALM, PARTLY CLDY                  ",,,,,94,
1983,1983-12-19,,,,14,30,,,,,,,,,General Comments:  NO OTHER INFO                      ,,,,,95,
1983,1983-12-20,,,,13,25,,,,,,,,,"General Comments:  PARTLY CLDY,PM VERY WINDY          ",,,,,96,
1983,1983-12-21,,,,16,38,,,,,,,,,"General Comments:  PTLY CLDY,VERY WARM WIND IN PM     ",,,,,97,
1983,1983-12-22,,,,16,39,1.4,,8.3,,0,,,,General Comments:  PM CLDY                            ,,,,,98,
1983,1983-12-23,,,,10,30,1.4,,2.8,,,,,,"General Comments:  CLR-PTLY CLDY,CUMULUS CLDS         ",,,,,99,
1983,1983-12-24,,,,12,33,1.4,,2.8,,,,,,General Comments:  PARTLY CLDY                        ,,,,,100,
1983,1983-12-25,,,,19,43,,,,,,,,,General Comments:  PTLY CLDY IN AM                    ,,,,,101,
1983,1983-12-26,,,,18,42,2.8,,,,4,,,,General Comments:  FEW RAINDROPS                      ,,,,,102,
1983,1983-12-27,,,,18,31,1.4,,2.8,,2,,,,,,,,,103,
1983,1983-12-28,,,,20,27,,,,,,,,,General Comments:  FEW RAINDROPS IN AM                ,,,,,104,
1983,1983-12-29,,,,22,26,2.8,,5.6,,,,,,General Comments:  PTLY OVERCAST ALL DAY              ,,,,,105,
1983,1983-12-30,,,,12,23,1.4,,5.6,,0,,,,General Comments:  W=15-20 FOR 3 HRS IN PM            ,,,,,106,
1983,1983-12-31,,,,12,29,,,,,0,,,,,,,,,107,
1983,1984-01-01,,,,15,41,1.4,,2.8,,0,,1,,,,,,,108,
1983,1984-01-02,,,,14,39,1.4,,,,,,,,General Comments:  PTLY CLDY                          ,,,,,109,
1983,1984-01-03,,,,15,32,,,,,,,,,"General Comments:  PM CLEAR, PTLY CLDY                ",,,,,110,
1983,1984-01-04,,,,17,34,,,,,0,,,,General Comments:  CLEAR AND CALM                     ,,,,,111,
1983,1984-01-05,,,,16,29,1.4,,2.8,,,,,,"General Comments:  FEW DROPS RAIN,CLDY MOST OF DAY    ",,,,,112,
1983,1984-01-06,,,,21,34,,,1.4,,,,,,"General Comments:  FEW DROPS RAIN, CLDY               ",,,,,113,
1983,1984-01-07,,,,20,34,2.8,,5.6,,,,,,"General Comments:  PTLY CLDY, WINDY                   ",,,,,114,
1983,1984-01-08,,,,13,34,2.8,,6.9,,0,,,,"General Comments:  FEW SPRINKLES, VERY WINDY          ",,,,,115,
1983,1984-01-09,,,,13,29,2.8,,4.2,,0,,,,General Comments:  CALM IN EVENING                    ,,,,,116,
1983,1984-01-10,,,,15,30,2.8,,4.2,,0,,,,,,,,,117,
1983,1984-01-11,,,,18,37,2.8,,4.2,,0,,,,General Comments:  CALM IN PM                         ,,,,,118,
1983,1984-01-12,,,,16,33,1.4,,5.6,,0,,,,"General Comments:  PM-FEW DROPS,PTLY CLDY,CALM        ",,,,,119,
1983,1984-01-13,,,,16,33,4.2,,11.1,,0,,,,"General Comments:  PM-FEW DROPS,VERY WINDY,PTLY CLDY  ",,,,,120,
1983,1984-01-14,,,,11,23,8.3,,,,,,,,"General Comments:  PTLY CLDY,AM-CALM                  ",,,,,121,
1983,1984-01-15,,,,14,29,1.4,,2.8,,,,,,General Comments:  CLDY ALL DAY                       ,,,,,122,
1983,1984-01-16,,,,16,30,1.4,,2.8,,0,,,,,,,,,123,
1983,1984-01-17,,,,24,41,,,,,,,,,"General Comments:  PTLY CLDY,AFTERNOON WINDY          ",,,,,124,
1983,1984-01-18,,,,22,32,1.4,,2.8,,0,,,,,,,,,125,
1983,1984-01-19,,,,22,32,,,,,,,,,"General Comments:  PRTLY CLDY,SOME FOG, CALM          ",,,,,126,
1983,1984-01-20,,,,18,33,,,,,,,,,"General Comments:  PTLY CLDY,CALM,AM DEW              ",,,,,127,
1983,1984-01-21,,,,23,35,,,,,0,,,,"General Comments:  PARTLY CLDY,HIGH FOG,AM DEW        ",,,,,128,
1983,1984-01-22,,,,23,33,,,,,0,,,,"General Comments:  CALM,PTLY CLDY                     ",,,,,129,
1983,1984-01-23,,,,23,38,,,,,0,,,,"General Comments:  CALM,PTLY CLDY                     ",,,,,130,
1983,1984-01-24,,,,22,27,,,,,,,,,"General Comments:  PTLY CLDY,MOSTLY CALM              ",,,,,131,
1983,1984-01-25,,,,18,27,,,,,,,,,"General Comments:  CLDY ALL DAY,AM-FEW DROPS          ",,,,,132,
1983,1984-01-26,,,,15,28,,,,,,,,,"General Comments:  PTLY CLDY, CALM                    ",,,,,133,
1983,1984-01-27,,,,13,32,5.6,,11.1,,,,,,"General Comments:  FEW DROPS,PTLY CLDY,WINDY NIGHT    ",,,,,134,
1983,1984-01-28,,,,13,24,8.3,,,,,,,,"General Comments:  FEW ROPS, PTLY CLDY,VERY WINDY     ",,,,,135,
1983,1984-01-29,,,,14,22,22.2,,,,,,,,"General Comments:  PM-CLDY,VERY WINDY 80+             ",,,,,136,
1983,1984-01-30,,,,11,25,8.3,,,,,,,,"General Comments:  PTLY CLDY,FEW MIN OF RAIN          ",,,,,137,
1983,1984-01-31,,,,11,23,,,,,,,,,General Comments:  CLEAR-PTLY CLDY                    ,,,,,138,
1983,1984-02-01,,,,11,32,,,,,,,,,"General Comments:  PTLY CLDY,PM CLR                   ",,,,,139,
1983,1984-02-02,,,,13,28,11.1,,,,0,,,,,,,,,140,
1983,1984-02-03,,,,14,26,8.3,,,,,,,,"General Comments:  AM SPRINKLES, CLDY,MORN CALM       ",,,,,141,
1983,1984-02-04,,,,10,19,,,,,,,,,"General Comments:  TR. RAIN,CLDY & WDY MOST OF DAY    ",,,,,142,
1983,1984-02-05,,,,10,19,,,,,,,3,,"General Comments:  RAIN ALL DAY,PTLY CLDY             ",,,,,143,
1983,1984-02-06,,,,12,27,,,,,,,,,General Comments:  CLR-PTLY CLDY                      ,,,,,144,
1983,1984-02-07,,,,18,36,,,,,,,,,General Comments:  PTLY CLDY                          ,,,,,145,
1983,1984-02-08,,,,16,38,5.6,,11.1,,,,,,General Comments:  MOSTLY CLR                         ,,,,,146,
1983,1984-02-09,,,,15,30,,,,,,,,,"General Comments:  CALM, PTLY CLDY                    ",,,,,147,
1983,1984-02-10,,,,24,33,,,,,,,1,,"General Comments:  PTLY CLDY,SEV SHORT SHOWERS        ",,,,,148,
1983,1984-02-11,,,,13,22,,,,,,,,,"General Comments:  OVERCAST,TRACE OF RAIN             ",,,,,149,
1983,1984-02-12,,,,13,26,,,,,,,,,"General Comments:  FOGGY,HUMID,OVERCAST,CALM          ",,,,,150,
1983,1984-02-13,,,,16,27,,,,,,,,,"General Comments:  FOGGY,HUMID,CLR-CLDY               ",,,,,151,
1983,1984-02-14,,,,14,27,,,,,,,,,"General Comments:  FOGGY, OVERCAST                    ",,,,,152,
1983,1984-02-15,,,,22,28,,,,,,,,,"General Comments:  PTLY CLDY,SOME FOG IN PM           ",,,,,153,
1983,1984-02-16,,,,20,30,,,,,,,,,"General Comments:  TR RAIN IN PM, OVERCAST            ",,,,,154,
1983,1984-02-17,,,,13,22,16.7,,,,0,,,,"General Comments:  WINDY IN AM,CALM REST OF DAY       ",,,,,155,
1983,1984-02-18,,,,12,32,2.8,,,,0,,,,,,,,,156,
1983,1984-02-19,,,,15,27,,,,,,,,,"General Comments:  OVERCAST, CLEAR IN PM              ",,,,,157,
1983,1984-02-20,,,,13,33,,,,,,,,,"General Comments:  TR RAIN,CLEAR,CALM                 ",,,,,158,
1983,1984-02-21,,,,13,,2.8,,19.4,,0,,,,General Comments:  CALM IN EVENING                    ,,,,,159,
1983,1984-02-22,,,,11,22,5.6,,,,0,,,,General Comments:  PM CALM                            ,,,,,160,
1983,1984-02-23,,,,11,24,2.8,,11.1,,0,,,,General Comments:  TRACE OF RAIN                      ,,,,,161,
1983,1984-02-24,,,,15,28,,,,,,,,,General Comments:  PTLY CLDY                          ,,,,,162,
1983,1984-02-25,,,,12,27,11.1,,,,,,,,"General Comments:  PTLY CLDY,FEW SPRINKLES            ",,,,,163,
1983,1984-02-26,,,,17,19,2.8,,,,,,,,General Comments:  PTLY CLDY                          ,,,,,164,
1983,1984-02-27,,,,15,28,8.3,,13.9,,0,,,,General Comments:  LT AFTERNOON CALM                  ,,,,,165,
1983,1984-02-28,,,,12,21,8.3,,,,0,,2,,General Comments:  PM CALM                            ,,,,,166,
1983,1984-02-29,,,,11,27,8.3,,,,0,,,,General Comments:  FEW SPRINKLES                      ,,,,,167,
1983,1984-03-01,,,,,,,,,,,,,,General Comments:  PTLY CLDY-SUNNY                    ,,,,,168,
1983,1984-03-12,,,,,,,,,,,,,,General Comments:  STARTED TO RAIN DURING NIGHT       ,,,,,169,
1983,1984-03-13,,,,14,16,,,,,,,16,,"General Comments:  OVERCAST, RAINY                    ",,,,,170,
1983,1984-03-14,,,,13,17,5.6,,,,,,,,General Comments:  PTLY CLDY                          ,,,,,171,
1983,1984-03-15,,,,11,18,2.8,,,,,,6,,"General Comments:  OVERCAST, RAINING                  ",,,,,172,
1983,1984-03-16,,,,11,21,,,,,,,,,"General Comments:  DEW,OVERCAST, PM-CLEAR             ",,,,,173,
1983,1984-03-17,,,,13,23,,,,,,,,,"General Comments:  DEW, PM PTLY CLDY                  ",,,,,174,
1983,1984-03-18,,,,12,23,,,,,0,,,,"General Comments:  DEW, FOG IN PM                     ",,,,,175,
1983,1984-03-19,,,,,,,,,,0,,,,"General Comments:  CLEAR, CALM                        ",,,,,176,
1984,1984-09-08,,,,,,,,,,7,,,,General Comments:  RAIN GAUGE LEAKED TILL 23/09       ,,,,,177,
1984,1984-09-09,10:45:00,,,,,3.6,,4.5,,3,,,,General Comments:  RAINED HARD IN MORNING             ,,,,,178,
1984,1984-09-10,08:02:00,,,7,21,0.4,,1.3,,6,THIN    ,,,"General Comments:  RAINED BRIEFLY, THIN CLDS          ",,,,,179,
1984,1984-09-15,07:53:00,,,7,15,0.4,,1.3,,6,MED     ,4,,General Comments:  MED CLDS                           ,,,,,180,
1984,1984-09-16,08:16:00,,,7,18,0.4,,1.3,,4,,,,General Comments:  CUMULUS CLOUDS                     ,,,,,181,
1984,1984-09-17,08:01:00,,,1,17,0.9,,2.2,,8,MED     ,,,"General Comments:  LOTS OF DEW,THIN-THICK CLDS        ",,,,,182,
1984,1984-09-18,10:00:00,,,9,11,1.8,,3.1,,8,THICK   ,8,,"General Comments:  RAIN DURING NIGHT,THICK,LOW CLDS   ",,,,,183,
1984,1984-09-19,08:15:00,,,8,12,0.9,,,,1,THIN    ,3,,"General Comments:  THIN CLDS,MOSTLY WEST              ",,,,,184,
1984,1984-09-20,08:20:00,,,8,14,0.9,,2.2,SE ,8,THICK   ,,,"General Comments:  TRACE OF RAIN,THICK,LOW CLDS       ",,,,,185,
1984,1984-09-21,08:45:00,,,6,11,2.7,,4,SSE,8,THICK   ,,,"General Comments:  TRACE OF RAIN, THICK,LOW CLDS      ",,,,,186,
1984,1984-09-22,07:55:00,,,5,11,,,,,7,THIN    ,,,"General Comments:  TRACE OF RAIN, THIN,LOW CLDS       ",,,,,187,
1984,1984-09-23,07:55:00,,,6,13,1.8,,4,NNW,4,THIN    ,,,"General Comments:  HIGH,THIN CLDS                     ",,,,,188,
1984,1984-09-24,07:55:00,,,5,22,2.2,,4.5,SSE,4,MEDTHIN ,1,,"General Comments:  MED,THIN CLDS                      ",,,,,189,
1984,1984-09-27,09:20:00,,,3,16,,,1.3,NW ,4,MEDTHIN ,,,"General Comments:  MED, THIN CLDS                     ",,,,,190,
1984,1984-09-28,07:55:00,,,6,18,1.3,,3.6,W  ,1,,,,General Comments:  FEW HIGH CLDS TO S                 ,,,,,191,
1984,1984-09-29,08:15:00,,,9,21,2.2,,3.6,W  ,8,,,,,,,,,192,
1984,1984-09-30,11:08:00,,,14,22,1.3,,2.2,SW ,4,THIN    ,,,General Comments:  THIN CLDS                          ,,,,,193,
1984,1984-10-01,10:46:00,,,9,23,2.2,,3.6,,4,THIN    ,,,"General Comments:  THIN CLDS, SUNNY                   ",,,,,194,
1984,1984-10-02,07:50:00,,,4,20,3.1,,4.5,SW ,0,,,,,,,,,195,
1984,1984-10-03,08:00:00,,,4,21,3.6,,4.9,W  ,0,,,,,,,,,196,
1984,1984-10-04,07:50:00,,,9,21,5.4,,9.8,W  ,5,THICK   ,,,"General Comments:  THICK, HIGH CLDS TO E              ",,,,,197,
1984,1984-10-05,07:50:00,,,2,23,0.4,,1.8,NW ,5,,,,,,,,,198,
1984,1984-10-06,07:00:00,,,2,16,,,,,7,,,,General Comments:  HIGH OVERCAST                      ,,,,,199,
1984,1984-10-07,09:40:00,,,9,21,0.4,,1.8,W  ,1,THIN    ,,,"General Comments:  HIGH,WISPY CLDS, SUNNY             ",,,,,200,
1984,1984-10-08,07:50:00,,,11,27,3.1,,4,W  ,1,THIN    ,,,"General Comments:  HIGH,SCATTERED,THIN CLDS           ",,,,,201,
1984,1984-10-09,13:00:00,,,11,26,1.3,,2.2,,4,,,,General Comments:  HIGH CLDS                          ,,,,,202,
1984,1984-10-11,07:50:00,,,10,26,2.2,,3.6,NW ,7,,,,"General Comments:  TRACE OF RAIN, HIGH CLDS           ",,,,,203,
1984,1984-10-12,07:50:00,,,11,19,8,,12.5,W  ,0,,,,,,,,,204,
1984,1984-10-13,07:55:00,,,10,24,3.6,,5.4,W  ,0,,,,,,,,,205,
1984,1984-10-14,07:55:00,,,3,19,0.9,,2.7,NW ,7,,,,General Comments:  HIGH CLDS                          ,,,,,206,
1984,1984-10-15,07:55:00,,,10,16,0.4,,1.3,W  ,7,THIN    ,3,,"General Comments:  THIN, HIGH CLDS                    ",,,,,207,
1984,1984-10-16,07:15:00,,,11,19,2.7,,4.9,W  ,0,,,,,,,,,208,
1984,1984-10-17,07:50:00,,,10,24,4.5,,8,W  ,0,,,,,,,,,209,
1984,1984-10-18,07:30:00,,,8,22,2.2,,4,WNW,3,,,,General Comments:  HIGH CLDS                          ,,,,,210,
1984,1984-10-19,08:10:00,,,8,22,1.3,,2.7,W  ,3,,,,General Comments:  HIGH CLDS                          ,,,,,211,
1984,1984-10-20,07:30:00,,,11,26,1.8,,3.1,NW ,2,,2,,General Comments:  HIGH CLDS TO E                     ,,,,,212,
1984,1984-10-21,07:55:00,,,12,26,2.2,,4.5,W  ,0,,,,,,,,,213,
1984,1984-10-22,07:30:00,,,1,22,0.9,,1.3,NW ,5,,,,General Comments:  SCATTERED HIGH & LOW CLDS          ,,,,,214,
1984,1984-10-23,07:30:00,,,7,23,1.3,,2.7,SSW,5,,,,,,,,,215,
1984,1984-10-24,07:30:00,,,7,19,2.7,,4,WNW,7,,,,General Comments:  HIGH CLDS                          ,,,,,216,
1984,1984-10-25,07:20:00,,,11,27,2.2,,4.5,W  ,1,,,,"General Comments:  TRACE OF RAIN,HIGH SCATTERED CLDS  ",,,,,217,
1984,1984-10-26,07:15:00,,,12,25,3.1,,6.7,W  ,0,,,,,,,,,218,
1984,1984-10-27,07:45:00,,,11,25,3.1,,4.5,WNW,1,,,,General Comments:  HIGH CLDS TO N & E                 ,,,,,219,
1984,1984-10-28,07:30:00,,,7,23,1.3,,2.7,E  ,7,THIN    ,,,General Comments:  THIN OVERCAST                      ,,,,,220,
1984,1984-10-29,07:15:00,,,7,20,2.7,,5.8,W  ,3,,3,,General Comments:  HIGH CLDS TO E & S                 ,,,,,221,
1984,1984-10-30,07:30:00,,,7,22,3.1,,5.8,W  ,1,,,,"General Comments:  TRACE OF RAIN,SCAT CLDS TO S       ",,,,,222,
1984,1984-10-31,07:15:00,,,3,21,0.4,,1.3,SW ,7,THIN    ,,,"General Comments:  TRACE OF RAIN,HIGH,THIN CLDS       ",,,,,223,
1984,1984-11-01,07:30:00,,,6,15,2.2,,4,SE ,8,,25,,General Comments:  MODERATE RAIN                      ,,,,,224,
1984,1984-11-02,07:00:00,,,7,13,0.9,,1.8,SE ,7,,1,,General Comments:  LAYERED HIGH & LOW CLDS            ,,,,,225,
1984,1984-11-03,07:30:00,,,9,16,0.4,,0.9,N  ,8,,2,,General Comments:  FEW CLEAR PATCHES TO W             ,,,,,226,
1984,1984-11-04,06:45:00,,,4,24,,,,,8,,,,"General Comments:  TRACE OF RAIN,FOG & LOW CLDS       ",,,,,227,
1984,1984-11-05,07:00:00,,,9,19,1.3,,2.2,N  ,8,,7,,General Comments:  RAIN                               ,,,,,228,
1984,1984-11-06,06:45:00,,,11,21,0.4,,1.3,NW ,5,THIN    ,,,"General Comments:  TRACE OF RAIN,THIN,HIGH CLDS       ",,,,,229,
1984,1984-11-08,07:00:00,,,9,26,0.4,,1.3,NNW,1,THIN    ,,,"General Comments:  HIGH,THIN,SCATTERED CLDS           ",,,,,230,
1984,1984-11-09,06:45:00,,,12,23,6.7,,9.8,WSW,0,,,,General Comments:  TRACE OF RAIN                      ,,,,,231,
1984,1984-11-10,07:00:00,,,6,23,2.2,,4,W  ,0,,,,,,,,,232,
1984,1984-11-11,07:00:00,,,6,21,1.8,,3.1,S  ,0,,,,,,,,,233,
